module,type,name,res_id,src,value,comments
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,ESTO ES PRUEBA DE UNA PAGINA EN LA VISTA GENERICA DE CURSOS,ESTO ES PRUEBA DE UNA PAGINA EN LA VISTA GENERICA DE CURSOS,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,ESTO ES UNA PAGINA INFORMATIVA,ESTO ES UNA PAGINA INFORMATIVA,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__end_date,End Date,End Date,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,From,From,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,General,General,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,Group By,Group By,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__id,ID,ID,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__id,ID,ID,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__id,ID,ID,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,INFORMA,INFORMA,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,INFORMACION,INFORMACION,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__instructor_id,Instructor,Instructor,
academia,model,"ir.model.fields,field_description",academia.field_res_partner__instructor,Instructor,Instructor,
academia,model,"ir.model.fields,field_description",academia.field_res_users__instructor,Instructor,Instructor,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course____last_update,Last Modified on,Last Modified on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session____last_update,Last Modified on,Last Modified on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard____last_update,Last Modified on,Last Modified on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__write_uid,Last Updated by,Last Updated by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__write_uid,Last Updated by,Last Updated by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__write_uid,Last Updated by,Last Updated by,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__write_date,Last Updated on,Last Updated on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__write_date,Last Updated on,Last Updated on,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__write_date,Last Updated on,Last Updated on,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,My Courses,My Courses,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__name,Name,Name,
academia,model,"ir.ui.menu,name",academia.main_openacademy_menu,Open Academy,Open Academy,
academia,model,"ir.ui.menu,name",academia.openacademy_menu,Open Academy,Open Academy,
academia,model,"res.groups,name",academia.group_manager,OpenAcademy / Manager,OpenAcademy / Manager,
academia,model,"ir.model,name",academia.model_openacademy_course,OpenAcademy Courses,OpenAcademy Courses,
academia,model,"ir.model,name",academia.model_openacademy_session,OpenAcademy_Session,OpenAcademy_Session,
academia,model_terms,"ir.ui.view,arch_db",academia.openacademy_session_graph_view,Participations by Courses,Participations by Courses,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Registered sessions,Registered sessions,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__responsible_id,Responsible,Responsible,
academia,model_terms,"ir.ui.view,arch_db",academia.course_search_view,Responsible,Responsible,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,Schedule,Schedule,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__seats,Seats,Seats,
academia,model_terms,"ir.ui.view,arch_db",academia.session_form_view,Session Form,Session Form,
academia,model_terms,"ir.ui.view,arch_db",academia.session_gantt_view,Session Gantt,Session Gantt,
academia,model,"ir.actions.report,name",academia.report_session,Session Report,Session Report,
academia,model_terms,"ir.ui.view,arch_db",academia.session_tree_view,Session Tree,Session Tree,
academia,model_terms,"ir.ui.view,arch_db",academia.view_openacad_session_kanban,Session name:,Session name:,
academia,model,"ir.actions.act_window,name",academia.session_list_action,Sessions,Sessions,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__session_ids,Sessions,Sessions,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_wizard__session_ids,Sessions,Sessions,
academia,model,"ir.ui.menu,name",academia.session_menu,Sessions,Sessions,
academia,model_terms,"ir.ui.view,arch_db",academia.course_form_view,Sessions,Sessions,
academia,model_terms,"ir.ui.view,arch_db",academia.partner_instructor_form_view,Sessions,Sessions,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__start_date,Start Date,Start Date,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_session__taken_seats,Taken seats,Taken seats,
academia,model,"res.partner.category,name",academia.teacher1,Teacher / Level 1,Teacher / Level 1,
academia,model,"res.partner.category,name",academia.teacher2,Teacher / Level 2,Teacher / Level 2,
academia,model,"ir.model.constraint,message",academia.constraint_openacademy_course_name_unique,The course title must be unique,The course title must be unique,
academia,model,"ir.model.constraint,message",academia.constraint_openacademy_course_name_description_check,The title of the course should not be the description,The title of the course should not be the description,
academia,model,"ir.model.fields,field_description",academia.field_openacademy_course__name,Title,Title,
academia,model,"ir.model,name",academia.model_openacademy_wizard,Wizard: Quick Registration of Attendees to Sessions,Wizard: Quick Registration of Attendees to Sessions,
academia,model_terms,"ir.ui.view,arch_db",academia.report_session_view,to,to,
